ID,PREDICTED_CLUSTER,GROUND_TRUTH_CLUSTER,REFERENCE
B949550,B901889,28,E J AYALA 1010 PALM DESERT DRIVE GARLAND TX 75044 972 570 4030
B998584,B901889,29,A BRYANT 11120 COLLEGE AVE MONTCLAIR CA 91763 909 731 4838
B945457,B901889,96,JEANNETTE AYALA 250 FLOR BLANCOA AVE SOCORRO TX 79927 915 325 0282
B925781,B901889,96,JEANNETTE AYALA 250 FLOR BYLANCA AVENU SOCORRO TX 79927 915 325 0282
B905783,B901889,96,AYALA 1630 HOVEDEQN DRIV KATY TEXAS 77450 281 361 8200
B960055,B901889,96,JEANNETTE AYALA 1630 HOVEDEN DR KATY TX 77450 281 361 8200
B914070,B901889,97,JEROME AYLAA 1630 HOVEDEN DR KATY THX 77450 281 361 8200
B998596,B901889,97,JEROME AYALA 250 FLOR BLANCMA AVE SOCORRO TX 79927 915 325 0282
B917086,B901889,97,JEROME AYALA 1630 HOVEDEN R KATY X 77450 281 361 8200
B906979,B901889,97,JEROME AYALA 2831 POST OFFICE BOX NORTH HILLS CA 91393 818 842 1263
B918634,B901889,97,JEROME AYLAA 250 FLOR BLANCA AVE SOCORRO TX 79927 915 325 0282
B902004,B902004,76,DINA JACKSON 1649 SEATTLE SLEW WAY OCEANSIDE CA 92057 760 182 1245
B938744,B902004,76,DINA JACKSON 110 POST OFFICE KATY TX 77492 281 602 2727
B987798,B902004,76,DINA JACKSON 20444 VIA CELLINI PORTER RANCH CALI 91326 818 804 6521
B972710,B902669,3,MARCELA VILLA 333 W GARVEY AVEN B161 MONTERY PARK CALI 91754 626 536 6502
B982420,B902669,3,MARCELA VILLA 18725 E LINFIELD ST AZUSA CALIFORNIA 91702 626 551 6636
B969191,B902669,3,MARCELA VILLA 4265 NORTH CORDOBA ST SPRING JVALLEY CA 91977 619 687 4538
B930226,B902669,3,PEREZ 18725 E LINFIELD ST AZUSA CA 91702 626 551 6636
B983676,B902669,3,MARCELA VILLA 18725 E LINFIELD ST AZZUSA CALIF 91702 626 551 6636
B957756,B902669,4,LUIS PEREZ 4265 N CORDOBA ST SPRING VALLEY CA 91977V 619 155 5285
B966267,B902669,4,LUIS PEREZ 4265 N CORDOBA ST SPRING VALLEY CA 91977 619 155 5285
B902669,B902669,4,LUIS PEREZ 4265 N CORDOBA ST SPRING VALLEY CA 91977 619 155 5285
B905547,B902669,96,JEANNETTE PEREZ 11593 APARTADO NAPLES FLA 3410 239 784 4284
B948454,B902669,96,JEANNETTE PEREZ 33 SAWFISH LN KISSIMMEE FL 34759 407 417 6107
B904533,B902686,22,ROSA GARRETT 3754 ARLINGTON CIR PITTSBURG CA 94565 925 175 4116
B983661,B902686,22,ROSA GARRETT 3754 ARLINGTON CIR PITTSBURG CALIFORNIA 94565 925 175 4116
B977896,B902686,22,ROSA GARRETT 201 GALILEO LANE PERRIS CA 92571 909 672 8186
B955607,B902686,22,ROSA GARRETT 401 WALKER ST ARVIN CA 9H3203 661 455 1784
B925835,B902686,22,ROSA GARRETT 1650 BROADWAY AVE APARTMENT O SEASIDE CALIFORNIA 93955 831 200 6802
B902686,B902686,22,ROSA GARRETT 201 GALILEO LN PERRIS CA 92571 909 672 8186
B919284,B902686,63,ROSA F HAMES 8854 HOOPER AVE LOS ANGELES CA 90002 818 223 4503
B948558,B902804,185,MICHELEL M LUND 2450 SW 11TH ST MIAMI FL 33135 305 563 8441
B981543,B902804,185,MICHELLE M LUND 2237 WILSON DR SANTA TANA CA 92707 714 121 7465
B976810,B902804,185,MICHELLE M LUND 2450 SW 11TH ST MIAMI FL 33135 305 563 8441
B961023,B902804,185,MICKEY M LUND 7958 NORTHWEST 41ST COURT SUNRISE FLORIDA 33351 954 168 0205
B962422,B902804,185,MICHELLE M GMOEZ 7958 NW 4M1ST COURT SUNRISE FL 33351 954 168 0205
B922666,B902804,185,MICHELLE M ULND 2237 KILSKON DR SANTA ANA CA 92707 714 121 7465
B963057,B902804,185,MICHELLE M LUND 2452 PATTY CT WEST COVINA CA 91792 626 725 1354
B917066,B902804,185,M LUND 2452 PFATTY COURT WEST COVINA CALIF 917L92 626 725 1354
B904887,B902804,185,MICHELLE M LUND 7958 NW 41ST C SUNRISE FL 33351 954 168 0205
B902907,B902804,185,MICHELLE M LUDN 2452 PATTY CT WEST COVINA CA 91792 626 725 1354
B902804,B902804,185,MICHELLE M LUND 2237 WILSON DR SANTA ANA CA 92707 714 121 7465
B939564,B902804,185,MICHELLE M LUND 661111 APTDO ARCADIA CA 91066 626 565 0637
B996977,B902817,67,TAJUANNA S TOMBERLIN 8455 NEW 60TH PLACE PARKLND FL 33067 954 156 0178
B922013,B902817,67,S OTMBERLIN 8455 NW 60TH PL PARKLAND FL 33067 954 156 0178
B930304,B902817,67,TAJUANNA S TOMBERLIN 8455 NW 60TH PL PARKLAND FL 33067 954 156 0178
B942748,B902817,67,TAJUANNA S TOMBERLIN 2885 CALLER BRANDON FL 33509 813 862 2763
B993179,B902817,68,RAFALE J TALLMAN 1921 EAST 5TH STREET ONTRIO CALIF 91764 909 503 1870
B987259,B902817,68,RAFAEL J TALLMAN 4366 CASTANOS STR FREMONT CA 94536 530 573 3043
B971553,B902817,68,RAFAEL J TALLMAN 4366 CKASTANOS STR FREMONT CA 94536 530 573 3043
B939925,B902817,68,RAFAEL J TALLMAN 239 N MAGNOLIA AVE FARMERSVILLE CALI 93223 559 111 0505
B933576,B902817,68,RAFAEL J TALLMAN 2885 POST OFFICE BRANDON FL 33509 813 862 2763
B902817,B902817,68,RAFAEL J TALLMAN 4366 CASTANOS STREET FREMONT CA 94536 530 573 3043
B948699,B902817,68,RAFAEL J TALLMAN 239 N MAGNOLIA AVE FARMERSVILLZE CALI 93223 559 111 0505
B908275,B903282,20,CARLO ANDREALA 430115 CALLER MIAMI FL 33243 305 101 7216
B944025,B903282,88,I CARCAMO 3905 CASTLE DRV ROWLETT TX 75R089 972 887 0516
B992897,B903282,88,ERIKA I VILLAGRAN 7651 GATE PKWY APT 1305 JACKSONVILLE FL 32256 904 688 2148
B976859,B903282,88,ERIKA I VILLAGRAN 4100 TRADEWIND CTX EL PASO TX 79904 915 686 2243
B926771,B903282,88,ERIKA I VILLAGRAN 3905 CASTLE DRV ROWLETT TX 75089 972 887 0516
B903282,B903282,88,ERIKA I CARCAMO 3905 CASTLE DR ROWLETT TEXAS 75089 972 887 0516
B969636,B903282,89,SANTIAGO LEOPOLDO CARCAMO 430115 BUZON MIAMI FLORIDA 33243 305 376 6616
B950463,B903282,89,SANTIAGO LEOPOLDO CACRAMO 4100 TRADEWIND CT EL PASO TX 79904 915 686 2243
B939673,B903282,89,SANTIAGO LEOPOLDO CARCAMO 3905 CASTLE DRIV ROWLETT TX 75089 972 887 0516
B919397,B903282,89,SANTIAGO LEOPOLDO CARCAMO 3905 CASTLE DR ROWLETT TX 75089 972 887 0516
B966750,B903282,89,SANTIAGO LEOPOLDO CARCAMO 3905 CASTLE DR ROWLETT TX 75089 972 887 0516
B933966,B903389,59,LYNDA L ANDERSON 22 MAPLE BRAWNCH ST SPRING TX 77380 281 668 0846
B995931,B903389,59,LYNDA L ANDERSON 1111 NIKKI HLN STAFFORD TX 77477 281 307 0480
B985738,B903389,59,L ANDERSON 5137 JM BROWNING ST EL PASO TX 79938 915 785 0812
B975956,B903389,59,L ANDERSON 1111 NIKI LN STAFFORD TX 77477 281 307 0480
B969942,B903389,59,LYNDA P ANDESRON 2119 E 13T ST BROWNSVILLE TX 78521 956 412 0021
B961252,B903389,59,LYNDA L PIERRE CANEL 413 SUNSET HILLS DR EL PASO TEXAS 7928 915 742 5680
B938907,B903389,59,L ANDERSON 1111 NIKKI LN STAFFORD TX 77477 281 307 0480
B959729,B903389,59,LYNDA L ANDERSNO 22 MAPLE BRANCH IST SPRING TEXAS 77380 281 668 0846
B920380,B903389,59,LYNDA L ANDERSON 5137 JM BROWNING ST ELG PASO TX 79938 915 785 0812
B905700,B903389,59,LYNDA L ANDERSON 413 SUNSET HILLS DR PASO TEXAS 79928 915 742 5680
B903389,B903389,59,LYNDA L ANDERSON 22 MAPLE BRANCH ST SPRING TEXAS 77380 281 668 0846
B941384,B903389,59,LYNDA L ANDERSON 5137 JM BRONING ST EL PASO TX 79938 915 785 0812
B903939,B903939,105,NANCY L REHDRE 827 POST OFFICE BOX PITTSBURG CA 94565 925 765 2386
B928418,B903939,105,NANCY L GANEY 13342 HIDALGO STREET DESERST HOT SPRINGS CALI 92240 760 532 2412
B968350,B903939,105,N L GANEY 11605 POPLAR ST LOMA LINDA CALIFORNIA 92354 909 851 3770
B973197,B903939,105,NANYC L GANEY 11605 POPLAR ST LMA LINDA CALIFORNIA 92354 909 851 3770
B994726,B903939,105,NANCY L GANEY 651 SPINDRIFT WAY HALF MOON BAY CA 94019 650 276 6627
B974044,B903941,161,JESSIAC C ROLON 10020 NICARAGUA DR CUTLER BAY FL 33189 941 135 4376
B903941,B903941,161,JESSIAC C ROLNO 10020 NICARAGUA DR CUTLER BAY FL 33189 941 135 4376
B991093,B903941,161,J C BRITTON 10020 NICARAGUA DR CUTLER BAY FL 33189 941 135 4376
B991293,B903941,162,E ROLON 4509 BYER ST NORTH LITTLE ROCK AR 72117 501 680 5621
B927157,B903941,162,ANTONIO E ROLON 4509 BOYER ST NORTH LITTLE ROCK AR 72117 501 680 5621
B923161,B903941,162,ANTONIO E ROLON 15510 MONESTINO DR ORLANDO FL E32828 407 408 5450
B911205,B903941,162,ANTONIO E ROLON 10020 NICARAGUA DRV CUTLER BAY FL 33189 941 135 4376
B964803,B903941,162,E ROLON 10020 NICARAGUA DRIVE CUTLER BAY FL 33189 941 135 4376
B957786,B904233,173,HELEN L BINKLEY 1439 MODOC AVE SALINAS CALIFORNIA 93O906 831 887 1246
B904233,B904233,173,ELENA L TURNER 1439 MODOC AVEN SALINAS CA 93906 831 887 1246
B919436,B904233,173,ELENA L BINKLEY 2400 SOUTHWEST 3RD AVENU APARTMENT 204 MIAMI FLA 33129 305 874 8376
B919922,B904233,173,E L BINKLEY 2400 SW 3RD AVE APT 204 MIAMI FL 33129 305 874 8376
B922177,B904233,173,ELENA L BINKLEY 1439 MODOC AVE SALINAS CA 93906 831 887 1246
B930417,B904233,173,ELENA L BINKLEY 13793 41ST LN N ROYAL PALM BEACH FL 33411 561 716 4131
B932269,B904233,173,HELEN L BINKLEY 6841 MEADOWLARK LN CHINO CA 91710 909 678 2034
B962972,B904233,173,ELENA L IBNKLEY 2400 SW 3RWD AVE APT 204 MIAMI FL 33129 305 874 8376
B952387,B904233,173,ELENA L BINKLEY 13793 41ST LN N ROYAL PALM BEACH FL 33411 561 716 4131
B995764,B904233,173,ELENA L BINKLEY 6841 MEADOWLARK CHINO CALIF 91710 909 678 2034
B972011,B904233,174,LUIS TURNER 150706 POST OFFICE CAPE CORAL FL 3391 239 864 7762
B952204,B904233,174,LUIS T 6841 MEADOWLARK LN CHINO CA 1710 909 678 2034
B928358,B904233,174,LUIS TURNER 6841 MEADOWLARK LN CHINO CA 91710 909 678 2034
B957259,B904233,174,LUIS TURNER 1439 MOOC AVE SALINAS CALIF 93906 831 887 1246
B957128,B904233,174,LUIS TURNER 6841 MEADOWLARK LN CHINO CALIFORNIA 91710 909 678 2034
B971592,B904518,54,A FARRELLY 1228 HILLSBORO MILE APT 102 BEACH FL 33062 954 207 3546
B978531,B904518,54,ISABEL A FAUCETTE 361 SW 22ND RD RGEAR MIAMI FLA 33129 305 340 5627
B968991,B904518,54,ISABEL A FAUCETTE 1228 HILLSBORO MILE AT 102 BEACH FL 33062 954 207 3546
B961683,B904518,54,ISABEL A FAUCETTE 1228 HILLSBORO MILE APT 102 BEACH FLORIDA 33062 954 207 3546
B904518,B904518,54,ISABEL A FAUCETTE 7644 OFFICE BOX STOCKTON C 95267 209 736 6247
B955058,B904518,54,ISABEL A FAUCETTE 77501 POST BOX CORONA CA 92877 909 445 5611
B957945,B904518,55,RICHARD J FARRELLY 361 SW 22ND RD REAR MIAMI FL 33129 305 340 5627
B951668,B904518,55,RICHARD J F 1228 HILLSBORO MILE APT 102 BEACH FL 33062 954 207 3546
B965783,B904518,55,J FARRELLY 1228 HILLSBORO MILE APT 102 BEACH FLORIDA 33062 954 207 3546
B930934,B904518,55,RICHARD J FARRELLY 361 SW 22ND ROAD REAR MIAMI FL 33129 305 340 5627
B929043,B904518,55,RICHARD J FARRELLY 1228 HILLSBORO MILE APT 102 BEACH FLA 33062 954 207 3546
B963169,B904789,179,EAV S H 9702 MALAGA CT 1106 PALM BEACH GARDENS FLORIDA 33418 561 233 2822
B985247,B904789,179,EVA S SHEU 1015 FM 2301 TULIA TEXAS 79088J 806 775 2783
B904789,B904789,179,EVA S HALFIN 9702 MALAGA CT 1106 PALM BEACH GARDENS FL 33418 561 233 2822
B995736,B904789,180,TIMTOHY E HALFIN 1127 NWF 4TH PLACE CAPE CORAL FL 33993 239 240 5623
B983969,B904789,180,TIMOTHY E HALFLIN 2252 SW 150TH CT OCALA FLA 34K481 352 544 6520
B973954,B904789,180,TIMOTHY E HALFIN 9702 MALAGA CT 1106 PALM BEACH GARDENS FLORIDA 3341 561 233 2822
B941564,B904789,180,TIM E HALFNI 2252 SOUTHWEST 150TH CT OCALA FL 34481 352 544 6520
B924616,B904789,180,TIMOTHY E HALFNI 35126 MEADTOW REACH DR ZEPHYRHILLS FL 33541 813 880 6734
B942686,B904789,180,T E HALFIN 2252 S 150TH CT OCALA FL 34481 352 544 6520
B962547,B904830,102,A OLPEZ 2211 DAVISST TAMPA FLA 33605 813 381 7317
B987227,B904830,102,MARIO A LOPEZ 731 E COCO PLUM CIR PLANTATION FL 33324 954 567 5668
B986220,B904830,102,MARIO A LOPEZ 2211 DAVIS STR TAMPA FL 33605 813 381 7317
B983085,B904830,102,MARIO A LOPEZ 6837 COUNTY HIGHWAY 1087 DEFUNIAK SPRINGS FL 32433 850 110 7753
B976822,B904830,102,MARIO A LOPEZ 731 E COCO PLUM CIR PLANTATION FL 33324 954 567 5668
B969151,B904830,102,MARIO A LOPEZ 731 E COCO PLUM CIR PLANTATION FL 33324 954 567 5668
B939318,B904830,102,MARIO A LOPEZ 6837 COUNTY HIGHWA 1087 DEFUNIAK SPRINGS FLORIDA 32433 850 110 7753
B904830,B904830,102,MARIO A LOPEZ 2020 ADMIRALTY BLVD ROCKLEDGE FLA 3255 321 851 1630
B967367,B904830,102,MARIO A LOPEZ 6837 COUNTY HIGHWAY 1087 DEFUNIA SPRINGS FL 32433 850 110 7753
B904925,B904925,99,JOSEPH E USECHE LAMARDO 2219 WEST THORUGHBRED DRV LANCASTER TX 75146 972 306 6764
B907253,B904925,99,JOE E USECHE LAMARDO 756 POST CROWLEY TX Q76036 817 211 1343
B933584,B904925,99,JOSEPH E USECHE LAMARDO 1023 CARLSBAD DRIVE GRAND PRAIRIE TX 7F5051 972 750 4307
B971759,B904925,99,JOSEPH E USECHE LAMARDO 160 GREEN OAKSLANE SOUTLAKE TEXAS 76092 817 161 6218
B905065,B905065,69,BARBARA B CAMPOS 2403 RIDGEVIEW AVENUE LOS ANGELES CA 90041 818 883 5280
B934191,B905065,69,BABS B CAMPOS 2403 RIDGEVIEW AVE LOS ANGELES CA 90041 818 883 5280
B957094,B905065,69,BARBARA B BARKER 2403 RIDGEVIEW AVE LOS ANGELES CA 90041 818 883 5280
B917991,B905217,11,TERESITA A VENTURA 7021 WESTBURY DRIV AMARILLO TX 79109 806 261 7751
B993674,B905217,11,TERESITA A RYO 7021 WESTBURY DR AMARILLO TEXAS 79109 806 261 7751
B956670,B905217,11,TERESITA A VENTURA 27096 BOX EL PASOTX 79926 915 854 8761
B907266,B905217,11,TERESITA A VENTURA 228 ROYAL COACH AVE POMONA CALI 91767 909 308 1583
B912004,B905217,11,TERESIAT A VENTURA 7037 CONEJO DR SAN BERNARDINO CALIFORNIA 9240T4 909 217 4076
B905217,B905217,12,BRYANT C ROY 43 WARREN DR APT Z139 LITTLE ROCK ARKAN 72209 501 615 1102
B973372,B905217,12,BRIAN C R 43 VWARREN DR APT 139 LITTLE ROCK AR 72209 501 615 1102
B977701,B905217,12,BRIAN C ROY 7021 WESTBURY DR AMARILLO TX 79109 806 261 7751
B981822,B905217,12,BRYANT C ROY 43 WARREN DRV APT 139 LITTLE ROCK AR 72209 501 615 1102
B983550,B905217,12,BRIANA C RYO 7021 WESTBURY DR AMARILLO TX 79109 806 261 7751
B948605,B905217,12,BRYANT C ROY 27096 BOX EL PASO TEXAS 79926 915 854 8761
B991983,B905339,16,PATIRCIA TENISON 4338 AGNES AVE LYNWOOD CA 90262 310 506 8474
B990484,B905339,16,PATRICIA TENISON 330698 APARTADO PACOIMA CALIFORNIA 1333 818 342 2605
B966117,B905339,16,PATRICIA TENISON 4338 AGNE AVN LYNWOOD CALIF 90262 310 506 8474
B932455,B905339,16,PATRICIA TENSION 820 W LINCOLNWY 82 GALT CALIF 95632 209 515 4865
B905339,B905339,16,PATRICIA TENIOSN 820 W LINCOLN WAY 8G2 YGALT CA 95632 209 515 4865
B907111,B905339,16,TRIXIE TENISON 820 W LINCOLN WAY 8 GALT CA 95632 209 515 4865
B963947,B905476,181,BEATRZI OTREGA 6440 CHESHIRE CT WESLEY CHAPEL FLA 33545 813 820 3608
B953943,B905476,181,BEATRIZ ORTEGA 112 EAST MCCORMICK R PALATKA FLA 32131 904 782 0217
B988749,B905476,181,BEATRIZ ORTEGA 112 E MCCORMICK RD EAST PALATKA FL 32131 904 782 0217
B944937,B905476,181,BEATRZI ORTEGA 2425 VASSAR AVE MERCED CA 95341 209 778 6087
B905476,B905476,181,ORTEGA 112 EAST MCCORMICK D PALATKA FL 32131 904 782 0217
B918816,B905476,181,BEATRIZ ORTEGA 6440 CHESHIPRE CT WESLEY CHAPEL FL 33545 813 820 3608
B947003,B905476,181,BEATRIZ ORTEGA 6440 CHESHIRE CT WESLEY HAPEL FL 33545 813 820 3608
B947403,B905637,134,BLAIR A FORTH 640 COOPER AVE YUBA CITY CALIF 95991N 323 558 2858
B905637,B905637,134,BLAIR A FORTH 345 N 4TH ST PT 1 MONEBELLO CA 90640 323 404 6708
B986580,B905637,134,BLAIR A FORTH 345 N 4TH ST APT 1 MONTEBELLO CALIF 90640 323 404 6708
B983028,B905637,134,B A FORTH 2331 S MANOR DR SACRAMENTO CALIF 95822 916 346 1267
B980611,B905637,134,BLAIR A FORTH 1331 W 88TH STRT LOS ANGELES CA 90044 818 782 5355
B974051,B905637,134,BLAIR A JACQUES 1331 W 88THST LOS ANGELES CA 90044 818 782 5355
B954741,B905637,134,BLAIR A FORTH 45236 POST SAN DIEGO CA 92145 619 382 4435
B915094,B905637,134,BLAIR A JACQUES 1331 W 88TH ST LOS ANGELES CA 90044 818 782 5355
B910031,B905637,134,BLAIR A FORTH 345 N 4TH STREET APARTMNT 1 MONTEBELLO CALIFORNIA 90640 323 404 6708
B909255,B905637,134,B A FORTH 640 COOPER AVE YUB CITY CALIFORNIA 95991 323 558 2858
B969363,B905637,134,BLAIR A JACQUES 12811 DUNTON DR WHITTISER CALIFORNIA 90602 562 670 2132
B951716,B905802,74,BRIANA C JACOBS 5914 PEBBLE CREEK DR ROCKLIN CA 95765 916 710 7886
B982671,B905802,74,BRIANA C JACOBS 22 JUNIPER DR ORMOND BEACH FL 32176 386 336 3873
B977072,B905802,74,BRIANA C AJCOBS 22 JUNIPER DRIVE PORMOND BEACH FLORIDA 32176 386 336 3873
B905802,B905802,74,BRIANA C JACOBS 7500 SW 59TH AV APARTMENT C2 SOUTH MIAMI FL 33143 305 827 5055
B978561,B905802,74,BRIANA C JACOBS 7500 SW 59TH AVENIDA APARTMENT C2 SOUTH MIAMI FL 33143 305 827 5055
B909850,B905802,74,C JACOBS 22 JVUNIPER DR ORMOND BEACH FL 32176 386 336 3873
B905885,B905885,4,PEREZ 742 LIMESTONE AVE LATHROP CALIF 95330 209 180 5121
B980413,B905885,4,LIUS PEREZ 742 LIMESTONE AVNUE LATHROP CALI 95330 209 180 5121
B982552,B906042,146,N BELTARN 3669 FANWOOD AVE LONG BEACH CALIFORNIA 90808 562 328 4681
B994764,B906042,146,MCIHAEL N BELTRNA 1801 FLAGLER DR APARTMENT 928 WEST PALM BEACH FL 33407 561 372 3080
B947908,B906042,146,MIKE N BELTRAN 3669 FANWOOD AVE LONG BEACH CA 9M0808 562 328 4681
B928450,B906042,146,MIKE N MBELTRAN 3669 FANWOOD AVE LONG BEACH CALIFORNIA 90808 562 328 4681
B906042,B906042,146,MICHAEL N BELTRAN 1801 FLAGLER DR APARTMENT 928 WEST PALM BEACH FL 33407 561 372 3080
B946466,B906434,128,R A LANTIGUA 321 DAISY AVE APT 6 LONG BEACH CALI 90802 562 606 2634
B964408,B906434,128,RHONDA A LOPEZ 1537 SOLANDO WAY SALINAS CA 93906 831 744 0418
B960098,B906434,128,RHONDA A LANTIGUA 81875 AVENUE 48 APARTMENT 117 INDIO CA 92201 760 732 8062
B949224,B906434,128,RHONAD A LOPEZ 321 DAISY AVE APT 6 LONG BEACH CA 802 562 606 2634
B919002,B906434,128,RHONDA A LANTIGUA 321 DAISY AVE APT 6 LONG BEACH CA 90802 562 606 2634
B920536,B906434,128,RHONAD A LOPEZ 81875 AVENUE 48 APARTMENT 117 INDIO CA 92201 760 732 8062
B921969,B906434,128,RHONDA A LOPEZ 1931 BOX SALINA CA 93902 831 632 3732
B960760,B906434,128,RHONDA A LOPEZ 1537 SOLANDO WAY SALINAS CA 93906 831 744 0418
B951508,B906434,129,DAVY LANTIGUA 321 DAISY AVE APARTMENT 6 LONG BEACH CA 90802 562 606 2634
B936601,B906434,129,DAIVD LANTIGUA 321 AISY AVE APT 6 LONG BEACH CALIFORNIA 90802 562 606 2634
B916615,B906434,129,D LANTIGUA 81875 AVENUE 48 APT 117 INDIO CA 92201 760 732 8062
B915453,B906434,129,DAVID LANTGIUA 1537 SOLANDO WAY SALINAS CA 93906 831 744 0418
B909779,B906434,129,DAVID LANTIGUA 2146 POST BOX COVINA CA 91722 626 133 6146
B906434,B906434,129,DAVDI LANTIGUA 81875 VENUE 48 APARTMENT 117 INDIO CA 92201 760 732 8062
B908352,B906434,129,DAVID L 81875 AVENUE 48 APARTMENT 117O INDIO CA 92201 760 732 8062
B940166,B906434,129,D LANTIGUA 640083 POST OFFICE BOX SAN JOSE CA 95164 408 362 0068
B929133,B906502,91,JEFFREY J KELLER 12224 RIANE CHANTEE DR EL PASO TX 79936 915 552 5238
B978343,B906502,91,JEFFREY J KELLER 554 79TH TER NORTH APT 212 SAINT ETERSBURG FL 33702 727 416 0832
B972534,B906502,91,JEFFREY J KELLER 8140 CALL BOX CORAL SPRINGS FL 33075 954 856 0870
B954044,B906502,91,JEFFREY J KELLER 8060 FOUNTAINB MIST BLVD LEHIGH ACRES FLORIDA 3372 239 860 0380
B924546,B906502,91,EJFFREY J KELLRE 127 APPIIAN WAY KISSIMMEE FL 34I758 407 545 2652
B924096,B906502,91,JEFFREY J KELLER 8060 FOUNTAIN MIST BLVD LEHIGH ACRES FL 33972 239 860 0380
B906502,B906502,91,JEFFREY J KELLER 127 APPIAN WAY KISSIMMEE FL 34758 407 545 2652
B968759,B906502,91,JFEFREY J KELLER 127 APPIAN WAY KISSIMMEE FL 34758 407 545 2652
B906513,B906513,106,ANTHONY S REHDER 4627 CROCKTT STREET AMARILLO TEXAS 7911 806 663 3185
B919779,B906513,106,ANTHONY S RNEHDER 346 OFFICE BOX DESERT HOT SPRINGS CA 92240 760 532 2412
B968103,B906513,106,ANTHONY S REHEDR 4627 CROCKETT TST AMARILLO TX 79110 806 663 3185
B969213,B906513,106,ANTHONY S REHDER 12 PINE CREEK CT PITTSBURG CA 94565 925 765 2386
B941725,B906623,24,MELCHOR ESPARZA 712 STILLVEW CIR BRANDON FLORIDA 33510 813 451 5110
B914835,B906623,24,M ESPARZA 644 MCKINLEY COURT KISSIMMEE FL 34758 407 744 8606
B954728,B906623,24,MELCHOR ESPARZA 6507 WINFIELD BOULEVARD C108 MARGATE FLA 33063 954 575 7114
B909774,B906623,24,MELCHOR ESPARZA 6507 WINFIELD BLVD C108 MARGATE FLORIDA U33063 954 575 7114
B908713,B906623,24,MELCHOR ESPARZA 644 MCKINLEY CT KISSIMMEE FLA 34758 407 744 8606
B906623,B906623,24,MELCHOR ESPARZA 7586 CALL BOX FORT MYERS FLA 33911 239 305 0542
B967925,B906623,24,ESPARZA 1102 SPRING LITE WAY ORLANDO FL 32825 407 342 7004
B910346,B906623,24,MELCHOR E 644 MCKINLEYCT KISSIMMEE FLA 34758 407 744 8606
B997914,B906623,110,M F BOSE 643 MCKINLEY CT KISSIMMEE FL 34758 407 807 1434
B916796,B906873,124,HELEN M GOMEZ HERNANDEZ 61443 POST OFFICE SUNNYVALE CA 94088 408 731 3720
B938550,B906873,124,ELLEN M GOMEZ HERNANDEZ 3275 DUBLIN DRV SOUTH SAN FRANCISCO CA 94080 650 588 8440
B952748,B906873,124,NELLIE M GOMEZ HERNANDEZ 12846 PORTOLA ST VICTORVILLE CA 92392 760 154 7222
B957899,B906873,124,BELEN M GOMEZ HERNANDEZ 1002 APARTADO DELAO CALI 93216 661 358 4472
B971402,B906873,124,ELLEN M ZENGEL 3275 DUBLIN DRV SOUTYH SAN FRANCISCO CALI 94080 650 588 8440
B977121,B906873,125,JOAQUIN M ZENGEL 12846 PORPTOLA ST VICTORVILLE CA 92392 760 154 7222
B986577,B906873,125,JOAQUIN M ZENGEL 181210 BUZON CORPUS CHRISTSI TX 78480 361 442 5848
B906873,B906873,125,JOAQUIN M ZENGEL 1818 16TH ST APARTMENT 8 SANTA MONICA CA 90404 310 816 0214
B935044,B906873,125,JOAQUIN M ZENGEL 3275 DUBLIN DR SOJUTH SAN FRANCISCO CA 94080 650 588 8440
B928448,B907059,170,GWENETTE D TICHY 430115 APTDO MIAMI FLORIDA 33243 305 310 0422
B947259,B907059,170,GWENETTE D TICHY 4616 CLUBHOUSE RD LAKELAND FL 33812 863 583 1368
B965994,B907059,170,GWENETTE D TICHY 11330 NORTHWEST 33RD STRT SUNRISE FL 33323 954 762 3773
B907059,B907059,170,D TICHY 11330 NW 33QRD ST SUNRISE FLORIDA 33323 954 762 3773
B913101,B907258,94,MARIAH SOSA 2730 W 74TH WAY APT 2711 DAVIE FLORIDA 33314 954 423 1368
B978918,B907258,94,MRAIA R SOSA 1386 E HILLCREST DR APARTMENT 7I32 THOUSAND OAKS CALIF 91362 805 626 5002
B976446,B907258,94,MARIA SOSA 2730 SW 74TH WAY APARTMENT 2711 DAVIE FL 33314 954 423 1368
B972190,B907258,94,MARIA SOSA 720506 POST BOX ORLANDO FL 32872 407 386 5744
B951829,B907258,94,MARIA R SOSA 5991 APARTADO FRESNO CYA 93755 559 858 0604
B915441,B907258,94,LOS 2730 SW 74TH WAY APARTMENT 2F711 DAVIE FL 33314 954 423 1368
B907258,B907258,94,MARIA SOSA 2333 POST PLEASANT HILL CA 94523 925 623 5067
B942557,B907258,94,MARIAH SOSA 7586 POST BOX FORT MYERS FL 33911 239 577 8300
B910041,B907273,138,MIGUEL K FERRETIZ 3535 PLAINSMAN LN APARTMENT L176 BRYAN TEXAS 77802 979 148 0446
B929044,B907273,138,MIGUEL K FERRETIZ 280034 APTDO HOUSTON TX 77228 713 206 5641
B934316,B907273,138,K FERRETIZ 3535 PLAINSMAN LN APT L176 BRYAN TEXAS 77802 979 148 0446
B965756,B907273,138,MIGUEL K FERRETIZ 3535 PLAINSMAN LN APARTMENT L176 BRAN TEXAS 77802 979 148 0446
B995186,B907273,138,MIGUEL K FERRETIZ 3300 W PARK BOULEVARD APT 2139 PLANO TX 75075 972 376 8033
